,X,DOSE,DOSE_UNIT,RECOMP_DOSE
507,3017916015,100,mg/kg,NA
508,3017916014,30,mg/kg,NA
509,3017916013,30,mg/kg,NA
510,3017916012,30,mg/kg,NA
511,3017916011,10,mg/kg,NA
512,3017916010,10,mg/kg,NA
513,3017916009,10,mg/kg,NA
514,3017916008,0,mg/kg,NA
515,3017916007,0,mg/kg,NA
516,3017916006,0,mg/kg,NA
517,3017916005,100,mg/kg,NA
518,3017916004,100,mg/kg,NA
519,3017916003,100,mg/kg,NA
520,3017916002,30,mg/kg,NA
521,3017916001,30,mg/kg,NA
522,3017915030,30,mg/kg,NA
523,3017915029,10,mg/kg,NA
524,3017915028,10,mg/kg,NA
525,3017915027,10,mg/kg,NA
526,3017915026,0,mg/kg,NA
527,3017915025,0,mg/kg,NA
528,3017915024,0,mg/kg,NA
529,3017915023,600,mg/kg,NA
530,3017915022,600,mg/kg,NA
531,3017915021,600,mg/kg,NA
532,3017915020,300,mg/kg,NA
533,3017915019,300,mg/kg,NA
534,3017915018,300,mg/kg,NA
535,3017915017,100,mg/kg,NA
536,3017915016,100,mg/kg,NA
537,3017915015,100,mg/kg,NA
538,3017915014,0,mg/kg,NA
539,3017915013,0,mg/kg,NA
540,3017915012,0,mg/kg,NA
541,3017915011,200,fEg/kg,NA
542,3017915010,200,fEg/kg,NA
543,3017915009,200,fEg/kg,NA
544,3017915008,20,fEg/kg,NA
545,3017915007,20,fEg/kg,NA
546,3017915006,20,fEg/kg,NA
547,3017915005,2,fEg/kg,NA
548,3017915004,2,fEg/kg,NA
549,3017915003,2,fEg/kg,NA
550,3017915002,0,fEg/kg,NA
551,3017915001,0,fEg/kg,NA
552,3017914030,0,fEg/kg,NA
553,3017914029,0,mg/kg,NA
554,3017914028,200,fEg/kg,NA
555,3017914027,200,fEg/kg,NA
556,3017914026,200,fEg/kg,NA
557,3017914025,20,fEg/kg,NA
558,3017914024,20,fEg/kg,NA
559,3017914023,20,fEg/kg,NA
560,3017914022,2,fEg/kg,NA
561,3017914021,2,fEg/kg,NA
562,3017914020,2,fEg/kg,NA
563,3017914019,0,fEg/kg,NA
564,3017914018,0,fEg/kg,NA
565,3017914017,0,fEg/kg,NA
566,3017914016,200,fEg/kg,NA
567,3017914015,200,fEg/kg,NA
568,3017914014,200,fEg/kg,NA
569,3017914013,20,fEg/kg,NA
570,3017914012,20,fEg/kg,NA
571,3017914011,20,fEg/kg,NA
572,3017914010,2,fEg/kg,NA
573,3017914009,2,fEg/kg,NA
574,3017914008,2,fEg/kg,NA
575,3017914007,0,fEg/kg,NA
576,3017914006,0,fEg/kg,NA
577,3017914005,0,fEg/kg,NA
578,3017914004,200,fEg/kg,NA
579,3017914003,200,fEg/kg,NA
580,3017914002,200,fEg/kg,NA
581,3017914001,20,fEg/kg,NA
582,3017913030,20,fEg/kg,NA
583,3017913029,20,fEg/kg,NA
584,3017913028,2,fEg/kg,NA
585,3017913027,2,fEg/kg,NA
586,3017913026,2,fEg/kg,NA
587,3017913025,0,fEg/kg,NA
588,3017913024,0,fEg/kg,NA
589,3017913023,0,fEg/kg,NA
590,3017913022,200,fEg/kg,NA
591,3017913021,200,fEg/kg,NA
592,3017913020,200,fEg/kg,NA
593,3017913019,20,fEg/kg,NA
594,3017913018,20,fEg/kg,NA
595,3017913017,20,fEg/kg,NA
596,3017913016,2,fEg/kg,NA
597,3017913015,2,fEg/kg,NA
598,3017913014,2,fEg/kg,NA
599,3017913013,0,fEg/kg,NA
600,3017913012,0,fEg/kg,NA
601,3017913011,0,fEg/kg,NA
